date,website,tweet,emphasis,committing,disadvantaged,ruling,call,grade,favors
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - screens,thomas bryant,trey murphy iii,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - screens,jakob poetl,alex caruso,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - screens,daniel gafford,donovan mitchell,offensive foul,no call,INC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - screens,alex lin,malachi brown,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - perimeter,goga bitadze,jalen duren,personal foul,no call,INC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - perimeter,jaylen brown,bam adebayo,personal foul,personal foul,CC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - perimeter,jalen suggs,ricky rubio,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - post,brandon ingram,aaron gordon,personal foul,personal foul,CC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,freedom of movement - post,jaren jackson jr,jamychael,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,traveling,kyrie irving,kings,travel,travel,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,traveling,jordan poole,kings,travel,no call,INC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,traveling,anthony davis,timberwolves,travel,travel,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160716162007469,traveling,harrison barnes,celtics,travel,travel,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,shooter kicks out his leg at an abnormal angle,trae young,aaron nesmith,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,shooter kicks out his leg at an abnormal angle,jalen suggs,raul neto,no call,no call,CNC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,offensive player veers off his path into defender,donte divencinzo,peyton watson,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,offensive player veers off his path into defender,fred van vleet,myles turner,no call,personal foul,IC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,shooter launches/leans into defender at abnormal angle,darius garland,cam johnson,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,shooter launches/leans into defender at abnormal angle,jayson tatum,mikal bridges,no call,no call,CNC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,offensive player's off-arm hooks the defender,kyle anderson,jeff green,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,offensive player's off-arm hooks the defender,franz wagner,dangelo russel,personal foul,personal foul,CC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,rip through/shooter launches away from basket,dennis schroder,mike conley,offensive foul,no call,IC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,rip through/shooter launches away from basket,kevin durant,nicolas batum,offensive foul,no call,IC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,rip through/shooter launches away from basket,karl anthony towns,bennedict mathurin,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,rip through/shooter launches away from basket,bradley beal,mason plumlee,offensive foul,offensive foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707160870642442552,rip through/shooter launches away from basket,jonas valuncianus,joel embiid,shooting foul,shooting foul,CC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,transition take foul,javon carter,chris boucher,take foul,take foul,CC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,transition take foul,nikola vucevic,marvin bagley iii,take foul,take foul,CC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,not a transition take foul,andrew wiggins,lebron james,personal foul,personal foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,not a transition take foul,anthony davis,karl anthony towns,personal foul,personal foul,CC,defense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,bench conduct,jared vanderbilt,damon jones,technical foul,technical foul,CC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,bench conduct,rick brunson,isaac okoro,technical foul,technical foul,CC,offense
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,bench conduct,timberwolves,thunder,warning,warning,CC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,bench conduct,mavericks,jazz,warning,warning,CC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,bench conduct,lakers,timberwolves,no call,no call,CNC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,bench conduct,suns,nuggets,no call,no call,CNC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,bench conduct,rockets,pistons,no call,no call,CNC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,marcus morris sr,suns,technical foul,technical foul,CC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,rj barrett,heat,technical foul,unclear,unclear,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,nikola jokic,lakers,no call,no call,CNC,stars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,jalen suggs,referee,no call,no call,CNC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,kyrie irving,referee,no call,no call,CNC,stars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,luka doncic,referee,no call,no call,CNC,stars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,joe ingles,referee,no call,no call,CNC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,kevin love,referee,no call,no call,CNC,nonstars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,jayson tatum,referee,no call,no call,CNC,stars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,joel embiid,referee,no call,no call,CNC,stars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,karl anthony towns,referee,no call,no call,CNC,stars
2023-09-23T00:00:00Z,https://official.nba.com/2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1707161066537410658,respect for the game,kelly olynyk,referee,no call,no call,CNC,nonstars
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,freedom of movement - screens,bam adebayo,dani avdija,offensive foul,offensive foul,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,freedom of movement - screens,mark williams,josh green,offensive foul,offensive foul,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,freedom of movement - screens,drew eubanks,jonathan kuminga,offensive foul,offensive foul,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,freedom of movement - perimeter,jaylen brown,rudy gobert,personal foul,personal foul,CC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,freedom of movement - perimeter,og anunoby,giannis antetokounmpo,personal foul,personal foul,CC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,freedom of movement - post,james wiseman,robert williams iii,personal foul,personal foul,CC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,freedom of movement - post,jayden ivey,chet holmgren,personal foul,no call,INC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,traveling,trendon watford,wizards,travel,travel,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,traveling,tobias harris,suns,travel,no call,INC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,traveling,toumani camara,grizzlies,travel,travel,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,shooter kicks out his leg at an abnormal angle,jalen green,jalen suggs,offensive foul,offensive foul,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,shooter kicks out his leg at an abnormal angle,jerami grant,marcus smart,offensive foul,no call,INC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,offensive player veers off his path into defender,tyler herro,cam reddish,offensive foul,offensive foul,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,offensive player veers off his path into defender,luka doncic,keldon johnson,personal foul,personal foul,CC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,shooter launches/leans into defender at abnormal angle,kyle kuzma,pj washington,offensive foul,offensive foul,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,shooter launches/leans into defender at abnormal angle,brook lopez,cade cunningham,personal foul,personal foul,CC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,offensive player's off-arm hooks the defender,karl anthony towns,jeremiah robinson-earl,offensive foul,offensive foul,CC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818190483620332,offensive player's off-arm hooks the defender,mikal bridges,torrey craig,personal foul,offensive foul,IC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,rip through/shooter launches away from basket,shai gilgias-alexander,kesler edwards,no call,no call,CNC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,rip through/shooter launches away from basket,mikal bridges,jt thorn,personal foul,no call,INC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,flopping violation,zhaire williams,malcolm brogdon,technical foul,technical foul,CC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,flopping violation,caris levert,donte divencenzo,technical foul,no call,INC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,not a flopping violation,michael porter jr,dillon brooks,no call,no call,CNC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,not a flopping violation,mike muscala,bam adebayo,no call,no call,CNC,defense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,transition take foul,larry nance jr,nickeil alexander-walker,take foul,take foul,CC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,not a transition take foul,tyus jones,desmond bane,personal foul,personal foul,CC,offense
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,bench conduct,timberwolves,hawks,no call,no call,CNC,nonstars
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,bench conduct,thunder,heat,no call,no call,CNC,nonstars
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,respect for the game,bennedict mathurin,bulls,technical foul,technical foul,CC,nonstars
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,respect for the game,norman powell,mavericks,technical foul,technical foul,CC,nonstars
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,respect for the game,anthony black,mavericks,technical foul,technical foul,CC,nonstars
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,respect for the game,jalen brunson,referee,no call,no call,CNC,stars
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,respect for the game,derick white,referee,no call,no call,CNC,nonstars
2023-12-04T00:00:00Z,https://official.nba.com/update-2023-24-points-of-emphasis/,https://x.com/NBAOfficial/status/1731818289829994743,respect for the game,obi toppin,referee,no call,no call,CNC,nonstars
